Conference,Year,Name,Institution,Continent
IEEEcloud,2013,Roger Barga,Microsoft Research,NA
IEEEcloud,2013,Elisa Bertino,Purdue University,NA
IEEEcloud,2013,Viraj Bhat,Yahoo,NA
IEEEcloud,2013,Rajdeep Bhowmik,"Cisco Systems, Inc.",NA
IEEEcloud,2013,Brain Blake,University of Miami,NA
IEEEcloud,2013,Steve Bobrowski,Salesforce.com,NA
IEEEcloud,2013,Mario Bravetti,University if Bologna,EU
IEEEcloud,2013,Jiannong Cao,Hong Kong Polytechnic University,AS
IEEEcloud,2013,David Carrera,Technical University of Catalonia,EU
IEEEcloud,2013,Peter Chen,Carnegie-Mellon University & Louisiana State University (LSU),NA
IEEEcloud,2013,Haopeng Chen,Shanghai Jiao Tong University,AS
IEEEcloud,2013,Keke Chen,Wright State University,NA
IEEEcloud,2013,Yong Chen,Texas Tech University,NA
IEEEcloud,2013,Winnie Cheng,American Express,NA
IEEEcloud,2013,Ludmila Cherkasova,HP,NA
IEEEcloud,2013,Malolan Chetlur,IBM India,AS
IEEEcloud,2013,Tzi-Cker Chiueh,Industrial Technology Research Institute,AS
IEEEcloud,2013,Gregory Chockler,University of London,EU
IEEEcloud,2013,Wu Chou,"Huawei IT Lab, Huawei",AS
IEEEcloud,2013,Alfredo Cuzzocrea,ICAR-CNR & University of Calabria,EU
IEEEcloud,2013,Dilma Da Silva,Qualcomm Inc.,NA
IEEEcloud,2013,Ernesto Damiani,University of Milan,EU
IEEEcloud,2013,Noel De Palma,University Joseph Fourier,EU
IEEEcloud,2013,Robert van Engelen,Florida State University,NA
IEEEcloud,2013,Elena Ferrari,University of Insubria,EU
IEEEcloud,2013,Jose Fortes,University of Florida,NA
IEEEcloud,2013,Geoffrey Fox,Indiana University,NA
IEEEcloud,2013,Dennis Gannon,Microsoft Research,NA
IEEEcloud,2013,Yuqing Gao,IBM T. J. Watson Research Center,NA
IEEEcloud,2013,Dimitrios Georgakopoulos,CSIRO ICT Center,OC
IEEEcloud,2013,Vladimir Getov,University of Westminster,EU
IEEEcloud,2013,Claude Godart,Nancy University and INRIA,EU
IEEEcloud,2013,Karthik Gomadam,Accenture Technology Labs - Silicon Valley,NA
IEEEcloud,2013,Nils Gruschka,University of Applied Sciences,EU
IEEEcloud,2013,Yike Guo,Imperial College London,EU
IEEEcloud,2013,Vijay K. Gurbani,"Bell Laboratories, Alcatel-Lucent",NA
IEEEcloud,2013,Michael Head,Google,NA
IEEEcloud,2013,Paul Hofmann,Saffron Technology,NA
IEEEcloud,2013,Ching-Hsien Hsu,Chung Hua University,AS
IEEEcloud,2013,Marty Humphrey,University of Virginia,NA
IEEEcloud,2013,Patrick C.K. Hung,University of Ontario Institute of Technology,NA
IEEEcloud,2013,Shantenu Jha,Rutgers University,NA
IEEEcloud,2013,Hai Jin,HUST,AS
IEEEcloud,2013,James Joshi,University of Pittsburg,NA
IEEEcloud,2013,Jeff Kephart,IBM T. J. Watson Research Center,NA
IEEEcloud,2013,Shinji Kikuchi,Fujitsu Laboratories Ltd.,AS
IEEEcloud,2013,Jacek Kitowski,AGH University of Science and Technology,EU
IEEEcloud,2013,Dzmitry Kliazovich,University of Luxembourg,EU
IEEEcloud,2013,Andrzej Kochut,IBM T. J. Watson Research Center,NA
IEEEcloud,2013,Alexander V. Konstantinou,Google,NA
IEEEcloud,2013,Tevfik Kosar,University at Buffalo (SUNY),NA
IEEEcloud,2013,Alexander Lazovik,the University of Groningen (RuG),EU
IEEEcloud,2013,Tsengdar Lee,NASA,NA
IEEEcloud,2013,Frank Leymann,University of Stuttgart,EU
IEEEcloud,2013,Wei Li,Chinese Academy of Sciences,AS
IEEEcloud,2013,Grace Lin,Institute for Information Industry,AS
IEEEcloud,2013,Yew-Huey Liu,IBM T. J. Watson Research Center,NA
IEEEcloud,2013,Leslie Liu,IBM T. J. Watson Research Center,NA
