Conference,Year,level_2,X0
middleware,2013,pct_big_eu,8.33
middleware,2013,pct_big_as,4.17
middleware,2013,pct_big_other,0.0
middleware,2014,pct_big_na,11.11
middleware,2014,pct_big_eu,7.41
middleware,2014,pct_big_as,7.41
middleware,2015,pct_big_na,13.04
middleware,2015,pct_big_eu,0.0
middleware,2015,pct_big_as,4.35
middleware,2016,pct_big_na,16.67
middleware,2016,pct_big_eu,11.11
middleware,2017,pct_big_na,15.79
middleware,2017,pct_big_eu,10.53
middleware,2017,pct_big_as,0.0
middleware,2018,pct_big_na,4.55
middleware,2018,pct_big_eu,9.09
middleware,2018,pct_big_as,4.55
middleware,2019,pct_big_na,8.0
middleware,2019,pct_big_eu,8.0
middleware,2019,pct_big_as,0.0
middleware,2019,pct_big_other,0.0
middleware,2020,pct_big_na,3.33
middleware,2020,pct_big_eu,0.0
middleware,2020,pct_big_as,0.0
middleware,2020,pct_big_other,0.0
middleware,2021,pct_big_na,3.57
middleware,2021,pct_big_eu,3.57
middleware,2021,pct_big_as,0.0
middleware,2022,pct_big_na,0.0
middleware,2022,pct_big_eu,0.0
middleware,2022,pct_big_as,8.33
middleware,2023,pct_big_na,4.35
middleware,2023,pct_big_eu,13.04
middleware,2023,pct_big_as,0.0
middleware,2023,pct_big_other,0.0
middleware,2024,pct_big_na,0.0
middleware,2024,pct_big_eu,10.26
middleware,2024,pct_big_as,0.0
nsdi,2012,pct_big_na,30.0
nsdi,2012,pct_big_eu,3.33
nsdi,2012,pct_big_as,10.0
nsdi,2013,pct_big_na,28.95
nsdi,2013,pct_big_eu,5.26
nsdi,2013,pct_big_as,2.63
nsdi,2014,pct_big_na,31.58
nsdi,2014,pct_big_eu,0.0
nsdi,2014,pct_big_as,2.63
nsdi,2015,pct_big_na,33.33
nsdi,2015,pct_big_eu,2.38
nsdi,2015,pct_big_as,4.76
nsdi,2016,pct_big_na,22.73
nsdi,2016,pct_big_eu,2.27
nsdi,2016,pct_big_as,4.55
nsdi,2017,pct_big_na,34.78
nsdi,2017,pct_big_eu,0.0
nsdi,2017,pct_big_as,0.0
nsdi,2018,pct_big_na,30.77
nsdi,2018,pct_big_eu,0.0
nsdi,2018,pct_big_as,0.0
nsdi,2019,pct_big_na,34.69
nsdi,2019,pct_big_eu,0.0
nsdi,2019,pct_big_as,4.08
nsdi,2020,pct_big_na,21.54
nsdi,2020,pct_big_eu,1.54
nsdi,2020,pct_big_as,4.62
nsdi,2021,pct_big_na,23.73
nsdi,2021,pct_big_eu,3.39
nsdi,2021,pct_big_as,13.56
nsdi,2022,pct_big_na,32.89
nsdi,2022,pct_big_eu,5.26
nsdi,2022,pct_big_as,10.53
nsdi,2023,pct_big_na,42.53
nsdi,2023,pct_big_eu,0.0
nsdi,2023,pct_big_as,13.79
nsdi,2024,pct_big_na,31.68
nsdi,2024,pct_big_eu,1.98
nsdi,2024,pct_big_as,12.87
osdi,2012,pct_big_na,20.83
osdi,2012,pct_big_eu,0.0
osdi,2012,pct_big_as,4.17
osdi,2014,pct_big_na,28.95
osdi,2014,pct_big_eu,2.63
osdi,2014,pct_big_as,2.63
osdi,2014,pct_big_other,2.63
osdi,2016,pct_big_na,25.53
osdi,2016,pct_big_eu,8.51
osdi,2016,pct_big_as,2.13
osdi,2018,pct_big_na,12.77
osdi,2018,pct_big_eu,10.64
osdi,2018,pct_big_as,6.38
osdi,2020,pct_big_na,25.71
osdi,2020,pct_big_eu,11.43
osdi,2020,pct_big_as,8.57
osdi,2020,pct_big_other,0.0
osdi,2021,pct_big_na,10.71
osdi,2021,pct_big_eu,0.0
osdi,2021,pct_big_as,7.14
osdi,2022,pct_big_na,40.0
osdi,2022,pct_big_eu,0.0
osdi,2022,pct_big_as,5.0
osdi,2023,pct_big_na,25.0
osdi,2023,pct_big_eu,2.08
osdi,2023,pct_big_as,8.33
osdi,2024,pct_big_na,30.0
osdi,2024,pct_big_eu,4.0
osdi,2024,pct_big_as,20.0
sigcomm,2012,pct_big_na,41.38
sigcomm,2012,pct_big_eu,0.0
sigcomm,2013,pct_big_na,27.78
sigcomm,2013,pct_big_eu,5.56
sigcomm,2013,pct_big_as,5.56
sigcomm,2014,pct_big_na,34.09
sigcomm,2014,pct_big_eu,2.27
sigcomm,2014,pct_big_as,2.27
sigcomm,2015,pct_big_na,38.46
sigcomm,2015,pct_big_eu,7.69
sigcomm,2015,pct_big_as,0.0
sigcomm,2015,pct_big_other,0.0
